M1,M2,P1,P2,F,Total
96.0,36.0,32.0,90.0,29.0,49.0
67.0,56.0,77.0,19.0,38.0,44.0
70.0,18.0,82.0,96.0,32.0,50.0
67.0,31.0,35.0,59.0,94.0,65.0
58.0,75.0,82.0,36.0,53.0,57.0
38.0,34.0,67.0,96.0,38.0,51.0
71.0,49.0,74.0,77.0,13.0,44.0
64.0,93.0,57.0,20.0,78.0,65.0
11.0,62.0,11.0,51.0,95.0,62.0
31.0,7.0,97.0,98.0,25.0,43.0
82.0,18.0,19.0,8.0,13.0,20.0
40.0,86.0,90.0,83.0,5.0,48.0
2.0,94.0,97.0,35.0,57.0,58.0
84.0,51.0,97.0,79.0,55.0,66.0
16.0,3.0,52.0,3.0,76.0,38.0
26.0,87.0,88.0,55.0,77.0,70.0
32.0,84.0,17.0,55.0,31.0,45.0
42.0,70.0,18.0,43.0,52.0,49.0
49.0,90.0,56.0,11.0,45.0,48.0
41.0,19.0,74.0,84.0,60.0,56.0
95.0,11.0,98.0,37.0,46.0,47.0
3.0,55.0,55.0,46.0,57.0,48.0
34.0,70.0,29.0,65.0,84.0,66.0
95.0,66.0,17.0,7.0,44.0,43.0
73.0,2.0,20.0,55.0,22.0,29.0
12.0,7.0,82.0,5.0,35.0,25.0
6.0,32.0,85.0,6.0,75.0,46.0
20.0,40.0,65.0,66.0,73.0,58.0
51.0,22.0,4.0,78.0,54.0,47.0
40.0,64.0,50.0,66.0,70.0,63.0
76.0,72.0,5.0,96.0,73.0,70.0
37.0,16.0,12.0,64.0,90.0,56.0
88.0,16.0,76.0,65.0,87.0,67.0
20.0,27.0,12.0,41.0,9.0,20.0
84.0,48.0,7.0,62.0,45.0,49.0
39.0,49.0,27.0,28.0,91.0,58.0
45.0,10.0,79.0,30.0,90.0,56.0
18.0,89.0,33.0,5.0,14.0,29.0
6.0,41.0,84.0,10.0,86.0,53.0
55.0,80.0,49.0,71.0,13.0,45.0
31.0,93.0,95.0,77.0,47.0,65.0
60.0,80.0,95.0,73.0,64.0,71.0
5.0,25.0,88.0,61.0,98.0,65.0
25.0,74.0,64.0,98.0,43.0,60.0
53.0,46.0,32.0,41.0,38.0,41.0
81.0,79.0,84.0,4.0,3.0,34.0
7.0,30.0,32.0,30.0,23.0,25.0
10.0,57.0,84.0,97.0,88.0,75.0
26.0,94.0,3.0,32.0,90.0,64.0
2.0,27.0,24.0,49.0,53.0,39.0
4.0,44.0,70.0,94.0,2.0,35.0
98.0,42.0,15.0,94.0,84.0,72.0
42.0,39.0,20.0,48.0,66.0,50.0
73.0,46.0,15.0,83.0,83.0,67.0
73.0,41.0,34.0,81.0,20.0,43.0
93.0,58.0,62.0,36.0,49.0,53.0
61.0,59.0,62.0,77.0,36.0,53.0
22.0,89.0,90.0,61.0,84.0,74.0
94.0,46.0,36.0,46.0,32.0,44.0
91.0,3.0,11.0,95.0,63.0,55.0
58.0,86.0,69.0,27.0,72.0,64.0
51.0,74.0,22.0,67.0,89.0,71.0
73.0,85.0,4.0,78.0,54.0,61.0
65.0,55.0,87.0,6.0,60.0,51.0
99.0,97.0,98.0,72.0,88.0,88.0
84.0,57.0,73.0,27.0,48.0,51.0
81.0,3.0,79.0,68.0,11.0,34.0
30.0,41.0,30.0,11.0,75.0,46.0
39.0,44.0,43.0,79.0,70.0,60.0
23.0,54.0,96.0,9.0,32.0,37.0
76.0,45.0,72.0,90.0,44.0,59.0
33.0,36.0,14.0,26.0,86.0,51.0
49.0,89.0,36.0,48.0,66.0,62.0
58.0,70.0,7.0,56.0,94.0,69.0
98.0,63.0,39.0,12.0,84.0,62.0
66.0,1.0,3.0,14.0,69.0,37.0
63.0,9.0,64.0,53.0,72.0,53.0
7.0,64.0,18.0,21.0,75.0,49.0
10.0,11.0,2.0,90.0,65.0,47.0
82.0,6.0,46.0,60.0,67.0,52.0
32.0,43.0,66.0,49.0,38.0,43.0
14.0,90.0,15.0,76.0,74.0,65.0
41.0,51.0,3.0,39.0,20.0,30.0
21.0,29.0,39.0,48.0,69.0,49.0
92.0,68.0,96.0,52.0,38.0,58.0
33.0,25.0,66.0,5.0,55.0,37.0
7.0,14.0,40.0,13.0,69.0,37.0
3.0,12.0,25.0,94.0,85.0,58.0
71.0,95.0,97.0,41.0,70.0,72.0
7.0,67.0,87.0,87.0,80.0,72.0
9.0,84.0,98.0,55.0,4.0,40.0
5.0,42.0,71.0,75.0,92.0,67.0
72.0,66.0,32.0,92.0,6.0,44.0
98.0,9.0,45.0,75.0,9.0,34.0
68.0,57.0,43.0,88.0,51.0,60.0
77.0,20.0,74.0,79.0,88.0,70.0
6.0,68.0,2.0,74.0,90.0,65.0
96.0,77.0,95.0,87.0,41.0,68.0
59.0,16.0,78.0,17.0,15.0,26.0
69.0,73.0,2.0,78.0,13.0,42.0
70.0,14.0,81.0,99.0,2.0,38.0
21.0,2.0,13.0,68.0,90.0,53.0
24.0,68.0,54.0,79.0,92.0,74.0
20.0,18.0,63.0,53.0,72.0,51.0
16.0,22.0,59.0,38.0,19.0,27.0
1.0,50.0,91.0,63.0,2.0,32.0
59.0,46.0,94.0,73.0,42.0,55.0
70.0,9.0,49.0,31.0,30.0,31.0
80.0,15.0,87.0,95.0,94.0,76.0
86.0,79.0,68.0,57.0,38.0,57.0
44.0,79.0,9.0,62.0,95.0,71.0
19.0,93.0,25.0,49.0,33.0,46.0
84.0,45.0,66.0,87.0,74.0,71.0
96.0,70.0,3.0,56.0,12.0,39.0
99.0,17.0,22.0,85.0,47.0,51.0
16.0,62.0,1.0,71.0,63.0,53.0
84.0,51.0,23.0,21.0,86.0,59.0
2.0,54.0,35.0,94.0,51.0,53.0
7.0,87.0,26.0,32.0,50.0,47.0
44.0,30.0,30.0,89.0,76.0,61.0
27.0,24.0,44.0,47.0,64.0,46.0
4.0,96.0,24.0,36.0,47.0,48.0
99.0,2.0,51.0,78.0,14.0,36.0
4.0,3.0,67.0,52.0,50.0,38.0
58.0,36.0,31.0,31.0,13.0,27.0
48.0,84.0,7.0,64.0,36.0,49.0
3.0,84.0,40.0,32.0,65.0,53.0
59.0,92.0,11.0,93.0,77.0,74.0
39.0,18.0,12.0,21.0,8.0,16.0
34.0,28.0,60.0,97.0,90.0,70.0
83.0,28.0,22.0,2.0,79.0,48.0
46.0,34.0,29.0,26.0,20.0,27.0
96.0,38.0,82.0,9.0,78.0,58.0
97.0,87.0,41.0,4.0,68.0,59.0
1.0,70.0,92.0,48.0,29.0,44.0
75.0,17.0,78.0,12.0,30.0,33.0
19.0,55.0,74.0,49.0,29.0,41.0
18.0,3.0,85.0,85.0,20.0,35.0
44.0,29.0,58.0,69.0,97.0,68.0
48.0,29.0,74.0,57.0,34.0,43.0
4.0,90.0,26.0,92.0,62.0,64.0
67.0,14.0,53.0,3.0,36.0,29.0
98.0,57.0,98.0,41.0,91.0,75.0
80.0,49.0,30.0,74.0,15.0,41.0
50.0,66.0,51.0,39.0,20.0,39.0
69.0,94.0,10.0,62.0,20.0,47.0
44.0,66.0,4.0,88.0,81.0,68.0
31.0,84.0,33.0,38.0,4.0,32.0
16.0,70.0,49.0,46.0,51.0,50.0
70.0,95.0,62.0,25.0,53.0,58.0
8.0,23.0,25.0,78.0,88.0,58.0
36.0,33.0,22.0,61.0,53.0,45.0
28.0,24.0,31.0,85.0,93.0,64.0
67.0,37.0,92.0,77.0,86.0,73.0
66.0,23.0,16.0,32.0,87.0,54.0
67.0,87.0,2.0,90.0,39.0,57.0
49.0,88.0,62.0,40.0,96.0,75.0
74.0,95.0,19.0,21.0,54.0,54.0
63.0,92.0,48.0,41.0,43.0,54.0
28.0,36.0,90.0,14.0,29.0,33.0
70.0,93.0,23.0,90.0,76.0,76.0
66.0,54.0,27.0,36.0,15.0,33.0
35.0,3.0,78.0,8.0,70.0,41.0
22.0,4.0,20.0,87.0,98.0,61.0
